Survived,Pclass,Sex,SibSp,Parch,Embarked,Edad,Tarifa,Lname,NamePrefix
0,3,1,1,0,2,4,0,73,11
1,1,0,1,0,0,0,3,136,12
1,3,0,0,0,2,7,0,251,8
1,1,0,1,0,2,7,3,198,12
0,3,1,0,0,2,7,1,11,11
0,3,1,0,0,1,6,1,409,11
0,1,1,0,0,2,0,3,378,11
0,3,1,3,1,2,1,2,463,7
1,3,0,0,2,2,7,1,292,12
1,2,0,1,0,0,5,2,426,12
1,3,0,1,1,2,1,2,537,8
1,1,0,0,0,2,0,2,65,8
0,3,1,0,0,2,4,1,538,11
0,3,1,1,5,2,0,3,16,11
0,3,0,0,0,2,5,0,626,8
1,2,0,0,0,2,0,2,256,12
0,3,1,4,1,1,1,2,505,7
1,2,1,0,0,2,6,1,647,11
0,3,0,1,0,2,7,2,625,12
1,3,0,0,0,0,6,0,375,12
0,2,1,0,0,2,7,2,199,11
1,2,1,0,0,2,7,1,51,11
1,3,0,0,0,1,5,1,385,8
1,1,1,0,0,2,7,3,568,11
0,3,0,3,1,2,2,2,463,8
1,3,0,1,5,2,0,3,25,12
0,3,1,0,0,0,6,0,176,11
0,1,1,3,2,2,4,3,189,11
1,3,0,0,0,1,6,0,448,8
0,3,1,0,0,2,6,0,604,11
0,1,1,0,0,0,0,2,618,2
1,1,0,1,0,0,6,3,576,12
1,3,0,0,0,1,6,0,215,8
0,2,1,0,0,2,3,1,639,11
0,1,1,1,0,0,7,3,395,11
0,1,1,1,0,2,0,3,265,11
1,3,1,0,0,0,6,0,368,11
0,3,1,0,0,2,4,1,93,11
0,3,0,2,0,2,5,2,625,8
1,3,0,1,0,0,5,1,434,8
0,3,0,1,0,2,0,1,5,12
0,2,0,1,0,2,7,2,617,12
0,3,1,0,0,0,6,0,318,11
1,2,0,1,2,0,1,3,327,8
1,3,0,0,0,1,4,0,153,8
0,3,1,0,0,2,6,1,516,11
0,3,1,1,0,1,6,2,338,11
1,3,0,0,0,1,6,0,447,8
0,3,1,2,0,0,6,2,536,11
0,3,0,1,0,2,5,2,22,12
0,3,1,4,1,2,2,3,464,7
0,3,1,0,0,2,4,0,439,11
1,1,0,1,0,0,0,3,239,12
1,2,0,1,0,2,7,2,182,12
0,1,1,0,1,0,3,3,459,11
1,1,1,0,0,2,6,3,651,11
1,2,0,0,0,2,4,1,525,8
0,3,1,0,0,0,7,0,440,11
1,2,0,1,2,2,1,2,638,8
0,3,1,5,2,2,2,3,220,7
0,3,1,0,0,0,4,0,557,11
1,1,0,0,0,2,0,3,275,8
0,1,1,1,0,2,0,3,241,11
0,3,1,3,2,2,1,2,563,7
0,1,1,0,0,0,6,2,583,11
1,3,1,1,1,0,6,2,414,7
1,2,0,0,0,2,7,1,441,12
0,3,1,0,0,2,4,1,132,11
1,3,0,4,2,2,5,0,16,8
0,3,1,2,0,2,7,1,312,11
0,2,1,0,0,2,7,1,285,11
0,3,0,5,2,2,5,3,220,8
0,2,1,0,0,2,4,3,268,11
0,3,1,1,0,0,7,1,112,11
1,3,1,0,0,2,7,3,58,11
0,3,1,0,0,2,4,0,404,11
0,3,1,0,0,2,6,0,578,11
0,3,1,0,0,2,6,1,416,11
1,2,1,0,2,2,1,2,88,7
1,3,0,0,0,2,7,1,162,8
0,3,1,0,0,2,4,1,628,11
1,3,1,0,0,2,7,1,546,11
1,3,0,0,0,1,6,0,381,8
0,1,1,0,0,2,7,3,99,11
1,2,0,0,0,2,5,1,276,8
1,3,0,3,0,2,7,2,31,12
0,3,1,1,3,2,5,3,187,11
